TID,KEY,TIME,LAT,LONG,PRED_LAT,PRED_LONG
2234,2015-01,2015011400,11.5,134.70000000000002,11.871675,135.5055
2234,2015-01,2015011406,11.7,133.5,11.960926,134.37244
2234,2015-01,2015011412,11.6,132.70000000000002,12.585442,133.89679
2234,2015-01,2015011418,11.6,131.8,12.222264,132.21169
2234,2015-01,2015011500,11.5,130.6,12.4572935,131.61394
2234,2015-01,2015011506,11.4,129.8,12.189608,130.33244
2234,2015-01,2015011512,11.3,128.70000000000002,11.3101425,130.38776
2234,2015-01,2015011518,11.1,127.6,11.504197,129.17468
2234,2015-01,2015011600,11.3,126.8,11.098944,128.2937
2234,2015-01,2015011606,11.9,125.8,12.200182,127.29686
2234,2015-01,2015011612,12.4,125.0,11.629691,125.6596
2234,2015-01,2015011618,12.7,124.3,11.707747,124.67362
2234,2015-01,2015011700,13.4,123.6,12.6879635,123.61667
2234,2015-01,2015011706,14.0,122.7,13.802032,123.24496
2234,2015-01,2015011712,14.8,122.4,13.988273,121.882034
2234,2015-01,2015011718,15.8,122.5,14.436765,121.933105
2234,2015-01,2015011800,16.5,122.8,15.893365,121.40682
2234,2015-01,2015011806,16.8,123.0,16.595066,121.08541
2234,2015-01,2015011812,16.8,123.5,16.646442,120.030266
2234,2015-01,2015011818,16.7,123.9,17.27258,121.15277
2235,2015-02,2015020712,12.2,156.8,12.409139,157.19865
2235,2015-02,2015020718,12.2,156.60000000000002,12.960017,157.48337
2235,2015-02,2015020800,12.3,156.4,12.70187,157.46075
2235,2015-02,2015020806,12.4,156.10000000000002,13.338428,156.8676
2235,2015-02,2015020812,12.7,155.70000000000002,12.82598,155.84012
2235,2015-02,2015020818,13.0,155.20000000000002,12.960915,154.7874
2235,2015-02,2015020900,13.6,154.70000000000002,13.149387,155.3404
2235,2015-02,2015020906,14.2,154.20000000000002,13.391866,155.28416
2235,2015-02,2015020912,14.7,154.0,14.080269,154.61934
2235,2015-02,2015020918,15.1,153.70000000000002,14.93203,153.3517
2235,2015-02,2015021000,15.4,153.3,15.854727,153.9952
2235,2015-02,2015021006,15.6,152.8,16.516201,153.24649
2235,2015-02,2015021012,16.1,152.5,16.920254,154.2887
2235,2015-02,2015021018,16.5,152.1,16.848179,153.4916
2235,2015-02,2015021100,16.8,152.20000000000002,16.071404,152.69536
2235,2015-02,2015021106,17.5,152.6,15.493816,151.77623
2236,2015-03,2015031206,9.0,159.8,10.751942,161.20172
2236,2015-03,2015031212,9.5,158.8,10.851853,158.97243
2236,2015-03,2015031218,10.7,157.4,11.5882,156.83609
2236,2015-03,2015031300,11.7,155.3,11.478582,154.96191
2236,2015-03,2015031306,12.5,153.0,12.632436,152.9919
2236,2015-03,2015031312,13.6,150.8,12.975575,153.18626
2236,2015-03,2015031318,13.9,149.8,14.564278,151.84901
2236,2015-03,2015031400,14.0,148.3,15.596069,149.61453
2236,2015-03,2015031406,13.9,146.6,15.344035,147.49733
2236,2015-03,2015031412,13.7,144.70000000000002,16.077467,145.31856
2236,2015-03,2015031418,13.4,142.70000000000002,16.117088,145.33003
2236,2015-03,2015031500,13.3,140.9,15.576082,143.26396
2236,2015-03,2015031506,13.7,139.8,14.105105,140.88846
2236,2015-03,2015031512,14.1,138.70000000000002,13.608149,138.09024
2236,2015-03,2015031518,14.7,137.70000000000002,13.661344,136.59961
2236,2015-03,2015031600,15.2,136.20000000000002,13.859385,135.85452
2236,2015-03,2015031606,15.4,135.3,15.116665,135.8026
2236,2015-03,2015031612,15.5,134.5,15.319132,135.1494
2236,2015-03,2015031618,15.8,133.4,15.886526,134.53322
2236,2015-03,2015031700,15.9,132.8,15.753409,133.49475
2236,2015-03,2015031706,16.1,131.9,16.016626,132.71361
2236,2015-03,2015031712,16.1,131.0,15.394842,132.49336
2236,2015-03,2015031718,16.0,130.4,16.439886,130.6871
2236,2015-03,2015031800,15.9,129.8,16.739403,130.73161
2236,2015-03,2015031806,15.6,129.0,17.31685,129.51357
2236,2015-03,2015031812,15.4,128.20000000000002,17.106548,129.49582
2236,2015-03,2015031818,15.2,127.2,16.167664,128.66586
2236,2015-03,2015031900,15.0,126.6,15.604004,127.82108
2236,2015-03,2015031906,14.7,125.9,14.949881,127.03302
2236,2015-03,2015031912,14.5,125.1,14.623604,124.70624
2236,2015-03,2015031918,14.5,124.2,15.491566,123.43983
2236,2015-03,2015032000,14.5,123.4,15.615932,123.47428
2236,2015-03,2015032006,14.3,122.5,15.068532,123.71139
2236,2015-03,2015032012,14.0,121.7,14.367252,121.47979
2237,2015-04,2015032700,7.6,155.3,7.733329,155.3708
2237,2015-04,2015032706,7.6,154.5,7.9209075,154.81912
2237,2015-04,2015032712,7.5,153.5,8.594228,153.98822
2237,2015-04,2015032718,7.4,152.70000000000002,8.3026285,153.2539
2237,2015-04,2015032800,7.5,151.9,7.9613824,152.0813
2237,2015-04,2015032806,7.7,150.9,7.9811764,151.46175
2237,2015-04,2015032812,8.0,149.70000000000002,8.349368,149.36217
2237,2015-04,2015032818,8.1,148.20000000000002,8.703076,149.02917
2237,2015-04,2015032900,8.4,147.20000000000002,8.395906,148.4971
2237,2015-04,2015032906,8.8,145.8,8.597242,146.37476
2237,2015-04,2015032912,9.0,144.8,9.048031,144.0822
2237,2015-04,2015032918,9.4,143.6,9.322922,142.07489
2237,2015-04,2015033000,9.6,142.4,9.9705715,141.93697
2237,2015-04,2015033006,10.0,141.3,10.015494,140.65182
2237,2015-04,2015033012,10.3,139.9,10.74951,139.70242
2237,2015-04,2015033018,10.3,138.70000000000002,11.198072,138.42331
2237,2015-04,2015033100,10.7,137.6,10.890288,137.61276
2237,2015-04,2015033106,11.2,136.6,11.669467,136.27686
2237,2015-04,2015033112,11.7,135.70000000000002,11.716489,134.98404
2237,2015-04,2015033118,12.0,134.70000000000002,11.937693,134.1377
2237,2015-04,2015040100,12.3,134.0,12.515957,133.51057
2237,2015-04,2015040106,12.8,133.4,13.238293,132.82306
2237,2015-04,2015040112,13.3,132.6,13.621808,133.08807
2237,2015-04,2015040118,13.8,131.9,14.029767,131.83496
2237,2015-04,2015040200,14.1,131.0,14.589284,131.58748
2237,2015-04,2015040206,14.2,130.0,15.15915,131.15771
2237,2015-04,2015040212,14.2,129.0,14.993837,129.50809
2237,2015-04,2015040218,14.4,127.7,15.343444,129.04114
2237,2015-04,2015040300,14.8,126.5,15.454201,127.61146
2237,2015-04,2015040306,15.2,125.1,15.890285,125.638626
2237,2015-04,2015040312,15.6,124.2,15.935807,123.99238
2237,2015-04,2015040318,15.9,123.4,15.689771,122.31763
2237,2015-04,2015040400,16.2,122.5,16.866497,122.110695
2237,2015-04,2015040406,16.900000000000002,121.5,17.375027,120.96073
2237,2015-04,2015040412,18.4,119.8,17.513165,120.78196
2237,2015-04,2015040418,19.8,118.3,17.39358,119.82105
2237,2015-04,2015040500,20.1,117.4,17.93077,119.10571
2237,2015-04,2015040506,20.0,117.0,19.266623,118.98828
2238,2015-05,2015040400,9.0,151.3,8.650679,150.13489
2238,2015-05,2015040406,8.9,150.9,8.638654,149.18883
2238,2015-05,2015040412,8.9,150.8,8.954706,150.12357
2238,2015-05,2015040418,8.9,150.70000000000002,9.427082,149.01495
2238,2015-05,2015040500,9.0,150.6,9.386724,150.12242
2238,2015-05,2015040506,9.1,150.6,9.114748,149.34431
2239,2015-06,2015050312,9.6,139.6,10.501902,139.50232
2239,2015-06,2015050318,9.5,139.3,10.302816,139.33151
2239,2015-06,2015050400,9.4,139.0,10.571508,139.03603
2239,2015-06,2015050406,9.4,138.70000000000002,10.16335,137.69351
2239,2015-06,2015050412,9.4,138.5,9.907144,138.19318
2239,2015-06,2015050418,9.4,138.20000000000002,9.683953,138.06313
2239,2015-06,2015050500,9.5,137.6,10.14681,138.25743
2239,2015-06,2015050506,9.5,136.9,10.023164,137.09235
2239,2015-06,2015050512,9.8,136.0,10.807177,137.16061
2239,2015-06,2015050518,10.2,135.20000000000002,10.876539,135.96901
2239,2015-06,2015050600,10.6,134.20000000000002,10.748865,134.40863
2239,2015-06,2015050606,11.3,133.1,10.2991495,132.72603
2239,2015-06,2015050612,11.6,132.0,11.199191,132.0389
2239,2015-06,2015050618,11.8,131.20000000000002,12.2731285,131.59462
2239,2015-06,2015050700,12.1,130.20000000000002,12.37978,130.99739
2239,2015-06,2015050706,12.6,129.1,13.174005,129.24388
2239,2015-06,2015050712,13.4,128.0,12.903652,128.07022
2239,2015-06,2015050718,13.7,127.1,13.887737,127.62793
2239,2015-06,2015050800,14.3,126.2,14.87257,126.79474
2239,2015-06,2015050806,14.9,125.2,15.032273,125.42894
2239,2015-06,2015050812,15.4,124.6,16.414646,124.06211
2239,2015-06,2015050818,16.1,123.9,16.288889,123.8968
2239,2015-06,2015050900,16.900000000000002,123.3,17.751722,123.18317
2239,2015-06,2015050906,17.8,122.6,17.713686,122.834915
2239,2015-06,2015050912,18.6,122.3,18.672453,121.78934
2239,2015-06,2015050918,19.6,122.0,19.49699,121.3528
2239,2015-06,2015051000,20.6,122.0,20.667082,121.64742
2239,2015-06,2015051006,21.8,122.3,22.207653,120.911575
2239,2015-06,2015051012,23.200000000000003,123.6,23.342134,122.5018
2239,2015-06,2015051018,25.5,125.5,24.29569,123.40022
2239,2015-06,2015051100,27.9,128.4,26.224913,126.60409
2239,2015-06,2015051106,30.5,132.20000000000002,27.391672,129.12764
2239,2015-06,2015051112,34.300000000000004,138.0,29.999918,133.94917
2239,2015-06,2015051118,38.400000000000006,142.3,34.399166,139.36992
2239,2015-06,2015051200,42.6,145.0,37.473103,145.85736
2239,2015-06,2015051206,44.2,148.1,39.68987,150.09927
2239,2015-06,2015051212,45.1,150.9,42.874016,152.12212
2239,2015-06,2015051218,45.6,153.60000000000002,44.219376,154.27463
2239,2015-06,2015051300,46.2,156.60000000000002,43.729572,145.5367
2239,2015-06,2015051306,46.8,160.0,46.171463,153.12068
2239,2015-06,2015051312,46.8,162.8,46.758614,158.7344
2239,2015-06,2015051318,47.0,166.20000000000002,46.42485,163.54634
2239,2015-06,2015051400,47.6,168.8,47.349747,166.54839
2239,2015-06,2015051406,48.3,171.60000000000002,48.234844,168.68002
2239,2015-06,2015051412,49.0,174.0,48.865757,172.09714
2239,2015-06,2015051418,48.8,176.0,48.77818,175.5246
2239,2015-06,2015051500,47.8,178.3,51.362316,174.27217
2240,2015-07,2015050712,3.7,162.4,4.7076163,160.20291
2240,2015-07,2015050718,4.0,162.60000000000002,4.5135393,160.9818
2240,2015-07,2015050800,4.4,162.60000000000002,4.8422713,161.64426
2240,2015-07,2015050806,4.800000000000001,162.4,4.938953,160.68869
2240,2015-07,2015050812,5.300000000000001,161.9,4.7191234,160.72922
2240,2015-07,2015050818,5.6000000000000005,161.10000000000002,5.804526,159.97304
2240,2015-07,2015050900,6.2,160.20000000000002,5.711088,160.4766
2240,2015-07,2015050906,6.800000000000001,160.0,7.27232,160.83934
2240,2015-07,2015050912,7.6,160.0,7.10516,160.0651
2240,2015-07,2015050918,8.4,159.8,7.2292356,159.43713
2240,2015-07,2015051000,9.1,159.70000000000002,7.3744354,158.15533
2240,2015-07,2015051006,9.6,159.60000000000002,9.176691,157.97229
2240,2015-07,2015051012,9.8,159.20000000000002,9.80592,157.98557
2240,2015-07,2015051018,10.0,158.9,10.463316,157.9048
2240,2015-07,2015051100,10.1,158.4,10.913645,158.12392
2240,2015-07,2015051106,10.1,158.0,11.876876,158.58621
2240,2015-07,2015051112,10.0,157.4,11.558936,157.28192
2240,2015-07,2015051118,10.0,156.60000000000002,11.785399,156.50058
2240,2015-07,2015051200,10.1,156.20000000000002,11.148774,156.61716
2240,2015-07,2015051206,10.3,155.3,11.622136,155.41187
2240,2015-07,2015051212,10.6,154.20000000000002,10.658307,155.3133
2240,2015-07,2015051218,10.9,153.20000000000002,10.764072,153.6068
2240,2015-07,2015051300,11.4,152.20000000000002,11.050049,153.52882
2240,2015-07,2015051306,11.9,151.1,11.785351,151.4631
2240,2015-07,2015051312,12.5,149.6,11.740557,149.3881
2240,2015-07,2015051318,12.8,148.3,12.401714,147.86526
2240,2015-07,2015051400,13.3,146.8,13.570052,147.3325
2240,2015-07,2015051406,13.6,145.70000000000002,14.1404705,146.25117
2240,2015-07,2015051412,14.2,144.70000000000002,14.749839,144.58572
2240,2015-07,2015051418,14.8,143.5,14.69023,143.57118
2240,2015-07,2015051500,15.2,142.4,15.457847,142.36998
2240,2015-07,2015051506,15.8,141.5,16.031689,141.75449
2240,2015-07,2015051512,16.5,140.6,16.806633,140.71548
2240,2015-07,2015051518,17.2,139.70000000000002,17.325321,140.10922
2240,2015-07,2015051600,17.8,139.1,18.068642,139.43517
2240,2015-07,2015051606,18.6,138.6,18.460907,138.98901
2240,2015-07,2015051612,19.4,138.5,19.989765,138.41846
2240,2015-07,2015051618,20.1,138.4,20.372736,138.08102
2240,2015-07,2015051700,20.9,138.5,20.897865,138.40016
2240,2015-07,2015051706,21.700000000000003,138.6,21.825306,138.37807
2240,2015-07,2015051712,22.4,138.8,23.237354,139.09448
2240,2015-07,2015051718,23.1,139.0,23.738987,139.40895
2240,2015-07,2015051800,23.8,139.4,24.599205,140.07854
2240,2015-07,2015051806,24.6,139.9,25.246464,140.19337
2240,2015-07,2015051812,25.5,141.0,25.54778,140.79913
2240,2015-07,2015051818,26.5,142.3,27.61741,142.88509
2240,2015-07,2015051900,28.0,143.9,28.792715,143.76933
2240,2015-07,2015051906,30.1,145.70000000000002,30.526562,144.40651
2240,2015-07,2015051912,32.7,148.20000000000002,31.215195,146.94148
2240,2015-07,2015051918,36.0,152.0,33.55963,150.76868
2240,2015-07,2015052000,39.7,155.70000000000002,36.081024,155.42398
2241,2015-08,2015062018,17.400000000000002,111.4,16.226631,110.466354
2241,2015-08,2015062100,17.900000000000002,111.2,17.11665,109.73988
2241,2015-08,2015062106,18.4,110.9,17.830639,110.3353
2241,2015-08,2015062112,18.9,110.4,19.224146,109.75817
2241,2015-08,2015062118,19.1,110.0,19.894274,110.54563
2241,2015-08,2015062200,19.6,109.3,19.894035,110.36656
2241,2015-08,2015062206,19.8,108.6,20.515814,109.44747
2241,2015-08,2015062212,19.9,108.0,20.75222,108.737404
2241,2015-08,2015062218,20.1,107.4,20.641876,108.12739
2241,2015-08,2015062300,20.4,107.1,20.787342,106.96615
2241,2015-08,2015062306,20.8,106.9,21.065405,106.49353
2241,2015-08,2015062312,21.200000000000003,106.6,21.35155,106.34237
2241,2015-08,2015062318,21.700000000000003,106.1,21.455778,105.543015
2242,2015-09,2015063018,11.3,154.3,12.20912,154.6368
2242,2015-09,2015070100,11.1,152.8,12.087917,152.37303
2242,2015-09,2015070106,10.9,150.6,12.835607,150.67926
2242,2015-09,2015070112,10.5,149.6,12.760666,149.07965
2242,2015-09,2015070118,10.3,148.8,11.896132,147.71742
2242,2015-09,2015070200,10.3,148.20000000000002,11.427257,146.50569
2242,2015-09,2015070206,10.8,148.5,11.590699,144.4131
2242,2015-09,2015070212,11.2,148.6,12.309978,145.38724
2242,2015-09,2015070218,11.8,148.5,12.668074,146.09639
2242,2015-09,2015070300,12.3,148.3,12.1025095,145.23206
2242,2015-09,2015070306,12.8,147.4,12.800507,147.31607
2242,2015-09,2015070312,13.3,146.3,13.589091,146.52171
2242,2015-09,2015070318,13.7,145.6,12.966083,147.02673
2242,2015-09,2015070400,14.0,145.0,13.684479,146.89015
2242,2015-09,2015070406,14.1,144.6,14.211633,144.53427
2242,2015-09,2015070412,15.1,143.9,14.956199,143.31242
2242,2015-09,2015070418,15.8,143.0,15.457993,142.11234
2242,2015-09,2015070500,16.3,142.5,15.610772,141.71042
2242,2015-09,2015070506,16.900000000000002,141.0,16.137323,141.18121
2242,2015-09,2015070512,17.5,139.8,17.481598,140.26508
2242,2015-09,2015070518,17.900000000000002,138.5,17.484066,139.18933
2242,2015-09,2015070600,18.1,137.4,18.444443,138.73807
2242,2015-09,2015070606,18.3,136.4,18.908745,136.0691
2242,2015-09,2015070612,18.6,135.5,19.689821,134.98221
2242,2015-09,2015070618,19.0,134.3,20.287771,133.91397
2242,2015-09,2015070700,19.4,133.5,20.725956,133.80135
2242,2015-09,2015070706,20.4,132.8,21.44677,133.48807
2242,2015-09,2015070712,21.0,131.70000000000002,21.564964,131.34001
2242,2015-09,2015070718,21.700000000000003,130.5,21.926626,130.41856
2242,2015-09,2015070800,22.5,129.6,22.694164,130.15123
2242,2015-09,2015070806,23.3,128.6,24.766548,130.04074
2242,2015-09,2015070812,24.200000000000003,127.6,24.995438,128.19582
2242,2015-09,2015070818,25.1,126.6,25.627619,126.36686
2242,2015-09,2015070900,25.700000000000003,125.5,26.489746,126.6811
2242,2015-09,2015070906,26.5,124.7,27.30753,125.59902
2242,2015-09,2015070912,27.3,124.0,28.582952,124.714874
2242,2015-09,2015070918,27.8,123.3,28.938242,123.962265
2242,2015-09,2015071000,28.6,122.8,28.71791,122.66556
2242,2015-09,2015071006,29.4,122.4,30.201828,121.96212
2242,2015-09,2015071012,30.3,122.8,30.58581,122.15653
2242,2015-09,2015071018,31.3,123.1,30.905142,121.79327
2242,2015-09,2015071100,33.1,123.6,31.937489,122.422806
2242,2015-09,2015071106,35.0,124.3,33.19414,123.50941
2242,2015-09,2015071112,36.8,124.8,33.7816,125.20411
2242,2015-09,2015071118,38.2,125.4,35.995808,126.96223
2243,2015-10,2015070218,15.4,124.8,16.74304,123.92639
2243,2015-10,2015070300,16.1,124.2,16.704393,123.308655
2243,2015-10,2015070306,16.5,123.8,16.7144,123.01344
2243,2015-10,2015070312,16.8,123.1,16.833307,123.55296
2243,2015-10,2015070318,17.1,122.6,17.521915,122.37317
2243,2015-10,2015070400,17.6,122.0,18.535595,122.1577
2243,2015-10,2015070406,18.0,120.3,18.88203,120.81993
2243,2015-10,2015070412,18.0,119.8,19.158968,120.0622
2243,2015-10,2015070418,18.2,119.4,18.850986,118.711975
2243,2015-10,2015070500,18.7,119.4,19.544031,118.4839
2243,2015-10,2015070506,19.200000000000003,119.3,19.652082,117.278915
2243,2015-10,2015070512,19.6,119.2,20.344824,118.161644
2243,2015-10,2015070518,19.9,119.1,20.8607,118.147026
2243,2015-10,2015070600,20.200000000000003,118.9,22.069283,119.50009
2243,2015-10,2015070606,20.5,118.9,22.131544,118.37096
2243,2015-10,2015070612,20.8,118.8,21.949928,118.349106
2243,2015-10,2015070618,21.1,118.7,21.241667,117.82348
2243,2015-10,2015070700,21.4,118.7,22.34284,117.16017
2243,2015-10,2015070706,21.8,118.7,22.837084,117.64877
2243,2015-10,2015070712,22.200000000000003,118.4,22.699615,117.060585
2243,2015-10,2015070718,22.5,117.7,23.060547,117.05635
2243,2015-10,2015070800,22.700000000000003,116.9,22.91742,116.821526
2243,2015-10,2015070806,22.9,115.7,23.131979,115.95548
2243,2015-10,2015070812,22.8,114.3,22.97598,115.78249
2243,2015-10,2015070818,22.5,112.8,22.139223,114.985985
2244,2015-11,2015070400,11.4,164.8,11.400196,166.75996
2244,2015-11,2015070406,11.3,163.8,12.144729,164.75978
2244,2015-11,2015070412,11.1,162.60000000000002,11.688453,162.17517
2244,2015-11,2015070418,11.4,161.20000000000002,11.998514,160.68385
2244,2015-11,2015070500,11.7,160.0,12.406529,160.33186
2244,2015-11,2015070506,11.8,158.8,12.201749,159.31355
2244,2015-11,2015070512,12.2,157.8,11.860932,157.83989
2244,2015-11,2015070518,12.7,156.70000000000002,12.500937,156.34665
2244,2015-11,2015070600,13.1,155.5,12.989153,155.42723
2244,2015-11,2015070606,13.6,154.5,13.203362,154.24342
2244,2015-11,2015070612,14.3,153.4,14.165702,153.05125
2244,2015-11,2015070618,15.0,152.20000000000002,14.334954,152.28087
2244,2015-11,2015070700,15.4,150.8,15.201253,150.90234
2244,2015-11,2015070706,15.5,149.9,15.819353,150.32927
2244,2015-11,2015070712,16.0,149.0,17.06741,149.51247
2244,2015-11,2015070718,16.6,147.8,17.676714,147.53592
2244,2015-11,2015070800,17.0,146.8,17.601841,146.17656
2244,2015-11,2015070806,17.6,145.9,16.953674,145.36203
2244,2015-11,2015070812,18.0,144.5,17.89968,144.65675
2244,2015-11,2015070818,18.2,143.6,18.298733,143.57411
2244,2015-11,2015070900,18.3,142.70000000000002,19.119612,142.75134
2244,2015-11,2015070906,18.4,142.0,19.528421,141.96735
2244,2015-11,2015070912,18.3,141.3,19.687138,140.64417
2244,2015-11,2015070918,18.3,140.5,19.985992,140.19493
2244,2015-11,2015071000,18.4,140.0,19.7329,139.38467
2244,2015-11,2015071006,18.3,139.4,19.692757,138.7467
2244,2015-11,2015071012,18.4,138.9,19.14663,138.14627
2244,2015-11,2015071018,18.4,138.4,18.658634,138.1105
2244,2015-11,2015071100,18.3,137.8,19.366926,137.72264
2244,2015-11,2015071106,18.6,137.6,18.428686,136.51672
2244,2015-11,2015071112,18.8,137.4,18.41859,135.59679
2244,2015-11,2015071118,19.1,137.20000000000002,18.239439,136.20982
2244,2015-11,2015071200,19.6,137.1,18.291794,135.7353
2244,2015-11,2015071206,20.5,137.0,19.780695,136.6642
2244,2015-11,2015071212,21.4,136.8,20.048357,135.94453
2244,2015-11,2015071218,22.200000000000003,136.6,21.134216,135.08035
2244,2015-11,2015071300,22.8,136.5,21.491495,135.15695
2244,2015-11,2015071306,23.700000000000003,136.5,23.699778,135.21414
2244,2015-11,2015071312,24.5,136.5,23.92466,134.65031
2244,2015-11,2015071318,25.5,136.4,25.105793,133.96602
2244,2015-11,2015071400,26.5,136.3,25.752905,134.72333
2244,2015-11,2015071406,27.6,135.9,26.816038,134.8675
2244,2015-11,2015071412,29.0,135.6,27.380157,134.64554
2244,2015-11,2015071418,29.9,135.20000000000002,29.09541,133.77565
2244,2015-11,2015071500,31.1,134.8,31.11555,134.70006
2244,2015-11,2015071506,32.0,134.5,32.55042,134.12567
2244,2015-11,2015071512,33.0,134.3,33.838383,135.51245
2244,2015-11,2015071518,34.0,133.70000000000002,33.775677,137.12175
2244,2015-11,2015071600,35.0,133.6,35.86341,135.03761
2244,2015-11,2015071606,35.7,133.8,35.509003,134.8169
2244,2015-11,2015071612,36.6,134.5,36.584335,134.46986
2244,2015-11,2015071618,37.6,135.0,37.185696,134.3056
2244,2015-11,2015071700,38.6,135.4,37.720753,135.71619
2244,2015-11,2015071706,39.7,136.20000000000002,38.21086,137.34476
2245,2015-12,2015071100,10.7,183.2,12.557561,183.79874
2245,2015-12,2015071106,11.2,182.4,12.165608,183.27551
2245,2015-12,2015071112,11.7,181.4,11.436122,182.73003
2245,2015-12,2015071118,12.5,180.4,12.393353,182.00499
2245,2015-12,2015071200,13.1,179.5,12.970071,180.16147
2245,2015-12,2015071206,13.5,178.8,13.094981,178.60242
2245,2015-12,2015071212,14.1,177.70000000000002,13.554231,178.53064
2245,2015-12,2015071218,14.6,176.5,15.5351,177.72905
2245,2015-12,2015071300,15.2,175.5,15.295395,176.7934
2245,2015-12,2015071306,15.8,174.3,15.238512,175.9544
2245,2015-12,2015071312,16.5,173.3,15.429481,174.07353
2245,2015-12,2015071318,16.8,172.0,16.002542,172.5872
2245,2015-12,2015071400,17.1,171.4,16.559355,171.24901
2245,2015-12,2015071406,17.5,170.3,17.2318,170.01424
2245,2015-12,2015071412,17.8,168.8,18.553799,168.90962
2245,2015-12,2015071418,18.1,167.60000000000002,18.35063,167.46187
2245,2015-12,2015071500,18.5,166.5,19.516296,167.33084
2245,2015-12,2015071506,18.8,165.5,19.382858,165.64473
2245,2015-12,2015071512,18.7,164.10000000000002,19.85016,163.7712
2245,2015-12,2015071518,18.6,162.5,20.212942,162.41196
2245,2015-12,2015071600,18.5,161.10000000000002,20.550188,161.95447
2245,2015-12,2015071606,18.5,160.0,20.325466,160.92183
2245,2015-12,2015071612,18.3,158.8,19.732033,159.3449
2245,2015-12,2015071618,18.1,157.8,19.630445,156.93176
2245,2015-12,2015071700,17.900000000000002,156.9,19.846708,156.19212
2245,2015-12,2015071706,18.0,155.70000000000002,20.213654,155.2933
2245,2015-12,2015071712,18.0,154.5,19.870653,154.33946
2245,2015-12,2015071718,18.2,153.20000000000002,19.583666,153.10776
2245,2015-12,2015071800,18.6,152.20000000000002,19.292442,152.03256
2245,2015-12,2015071806,19.200000000000003,151.4,19.577255,150.1023
2245,2015-12,2015071812,19.9,150.4,20.17463,149.70993
2245,2015-12,2015071818,20.4,149.4,20.422653,148.33916
2245,2015-12,2015071900,21.0,148.3,21.08647,147.64743
2245,2015-12,2015071906,21.3,147.3,22.12445,147.3469
2245,2015-12,2015071912,21.6,146.3,22.339592,146.23369
2245,2015-12,2015071918,21.8,145.3,22.86203,145.54749
2245,2015-12,2015072000,22.200000000000003,144.0,23.142635,144.10059
2245,2015-12,2015072006,22.6,142.8,23.222273,143.22917
2245,2015-12,2015072012,23.0,141.70000000000002,23.606787,142.09552
2245,2015-12,2015072018,23.1,140.5,23.45798,140.93555
2245,2015-12,2015072100,23.3,139.6,23.670033,139.2747
2245,2015-12,2015072106,23.6,138.5,24.060932,138.16046
2245,2015-12,2015072112,23.9,137.70000000000002,25.00835,137.67403
2245,2015-12,2015072118,24.200000000000003,136.9,25.037315,137.11812
2245,2015-12,2015072200,24.4,135.9,25.427483,136.37288
2245,2015-12,2015072206,24.6,135.1,25.182108,135.20126
2245,2015-12,2015072212,24.6,134.20000000000002,25.279171,135.3344
2245,2015-12,2015072218,24.700000000000003,133.3,26.395523,135.21587
2245,2015-12,2015072300,24.8,132.70000000000002,26.61893,134.22307
2245,2015-12,2015072306,24.9,131.8,26.468992,133.06464
2245,2015-12,2015072312,25.0,131.0,26.255133,131.74785
2245,2015-12,2015072318,25.5,130.6,25.817265,130.0623
2245,2015-12,2015072400,26.200000000000003,130.0,26.095766,129.34216
2245,2015-12,2015072406,27.4,129.6,26.22094,128.15343
2245,2015-12,2015072412,28.200000000000003,129.0,26.846529,127.482
2245,2015-12,2015072418,29.700000000000003,129.0,28.435726,128.2199
2245,2015-12,2015072500,31.0,129.20000000000002,29.794231,128.76434
2245,2015-12,2015072506,32.300000000000004,129.20000000000002,31.83199,129.10284
2245,2015-12,2015072512,33.6,130.1,31.831928,128.81433
2246,2015-13,2015072400,18.2,125.7,17.819416,123.418106
2246,2015-13,2015072406,18.9,126.1,17.192461,124.149
2246,2015-13,2015072412,20.200000000000003,126.3,17.416664,124.77977
2246,2015-13,2015072418,21.8,127.2,18.847183,126.93927
2247,2015-14,2015073100,13.6,153.3,13.087516,154.76729
2247,2015-14,2015073106,13.9,152.1,13.430903,152.4371
2247,2015-14,2015073112,14.3,150.8,14.808823,150.95029
2247,2015-14,2015073118,14.5,149.5,14.843947,149.80034
2247,2015-14,2015080100,14.6,148.20000000000002,14.357477,147.89366
2247,2015-14,2015080106,14.9,146.70000000000002,14.862406,146.81062
2247,2015-14,2015080112,15.2,145.9,15.759504,145.66702
2247,2015-14,2015080118,15.6,144.9,16.065016,144.51068
2247,2015-14,2015080200,16.2,144.0,15.922709,143.44933
2247,2015-14,2015080206,16.900000000000002,143.0,16.760408,141.7665
2247,2015-14,2015080212,17.400000000000002,141.8,17.714558,142.01254
2247,2015-14,2015080218,17.8,140.70000000000002,17.75205,141.07892
2247,2015-14,2015080300,18.3,139.6,18.6027,140.72958
2247,2015-14,2015080306,18.6,138.3,19.318571,139.29576
2247,2015-14,2015080312,18.9,137.20000000000002,19.57005,138.06352
2247,2015-14,2015080318,19.3,136.20000000000002,19.714258,136.34998
2247,2015-14,2015080400,19.6,134.9,19.948183,135.41847
2247,2015-14,2015080406,19.9,133.8,20.848272,134.13873
2247,2015-14,2015080412,20.0,132.6,20.639875,132.79466
2247,2015-14,2015080418,20.1,131.5,20.493082,131.6025
2247,2015-14,2015080500,20.5,130.20000000000002,20.728968,130.66914
2247,2015-14,2015080506,20.9,129.20000000000002,21.409693,129.40167
